company,productname,type,package,volumeml,country,boycott,certificate,barcode
"비알코리아(주), 오케이에프음료(주)",DUNKIN SPARKLING ZERO,탄산음료,캔,350,대한민국,NOT,,8809288634936
해태에이치티비(주),포도봉봉,탄산음료,캔,340,대한민국,NOT,,8801105911299
샤인머스캣 스파클링,천지개벽(주),탄산음료,캔,350,대한민국,NOT,,8809329050510
"(주)상일, (주)이그니스",클룹 제로소다 복숭아,탄산음료,캔,500,대한민국,NOT,,8809495075485
(유)삼각에프엠씨웰빙랜드,클룹 제로소다 포도,탄산음료,캔,500,대한민국,NOT,,8809495075478
"(주)상일, (주)이그니스",클룹 제로소다 청사과,탄산음료,캔,500,대한민국,NOT,,8809495076482
(주)천지개벽,제주한라봉 스파클링,탄산음료,캔,355,대한민국,NOT,,8809329050473
하이트진로(주),HITE MANGO LINGO,주류,캔,355,대한민국,NOT,,8801119025111
하이트진로(주),이슬톡톡,주류,캔,355,대한민국,NOT,,8801048311002
"매일헬스뉴트리션(주), (주)삼양패키징",셀렉스 프로핏 웨이프로틴 청포도 스파클링,탄산음료,패트,335,대한민국,NOT,,8809846900404
동아오츠카(주),데미소다   애플,탄산음료,캔,250,대한민국,NOT,비건,8801097160064
"(주)프로엠홀딩스, 오케이에프음료(주)",브이톡 팡크복숭아에이드,탄산음료,패트,350,대한민국,NOT,,8809344667007
"(주)프로엠홀딩스, 오케이에프음료(주)",브이톡 제로 레몬에이드,탄산음료,패트,350,대한민국,NOT,,8809344669124
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 오리지널 오렌지,주스,패트,1500,대한민국,회사,,8801094842406
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 에센셜 오렌지,주스,패트,1500,대한민국,회사,,8801094842406
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 오리지널 포도,주스,패트,1500,대한민국,회사,,8801094262303
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 포도,주스,패트,1500,대한민국,회사,,8801094852405
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 제주감귤,주스,패트,1500,대한민국,회사,,8801094622305
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 알로에,혼합음료,패트,1500,대한민국,회사,,8801094432409
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 망고,주스,패트,1500,대한민국,회사,,8801094292409
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 토마토,주스,패트,1500,대한민국,회사,,8801094332402
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",미닛메이드 레몬에이드,주스,패트,1500,대한민국,회사,,8801105908626
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 조이 오렌지,주스,종이팩,195*4,대한민국,회사,,8801094914028
"한국코카콜라(유), 코카-콜라음료(주)",미닛메이드 조이 사과,주스,종이팩,195*4,대한민국,회사,,8801094932121
롯데칠성음료(주),델몬트 오렌지,주스,패트,400,대한민국,NOT,,8801056071226
롯데칠성음료(주),델몬트 오렌지,주스,패트,1800,대한민국,NOT,,8801056237875
롯데칠성음료(주),델몬트 망고,주스,패트,1800,대한민국,NOT,,8801056064174
롯데칠성음료(주),델몬트 포도,주스,패트,400,대한민국,NOT,,8801056071240
롯데칠성음료(주),델몬트 포도,주스,패트,1800,대한민국,NOT,,8801056237899
롯데칠성음료(주),델몬트 알로에,혼합음료,패트,1500,대한민국,NOT,,8801056022150
